"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"1","Appeal (civil) 5543 of 2007","Tata Motors Ltd.","Union of India","2023-09-15","Justice A.K. Sikri, Justice V. Ramesh","J U D G M E N T CIVIL APPEAL NO. 5543 OF 2007 (Arising out of SLP (C) No. 10899 of 2005) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The appeal challenges the Gujarat High Court's order dismissing a writ petition. The petitioner sought tax exemption for electric vehicles under a government scheme. 3. The Tribunal held that the petitioner did not meet the eligibility criteria. 4. The petitioner argued that the government changed policies midway, but the court found no violation. 5. The appeal stands dismissed with no costs."
"2","Appeal (criminal) 2103 of 2021","Rahul Mehra","State of Delhi","2021-12-10","Justice N. Gupta, Justice S. Bhardwaj","J U D G M E N T CRIMINAL APPEAL NO. 2103 OF 2021 (Arising out of SLP (Crl) No. 5441 of 2019) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. This appeal questions the conviction of the petitioner under Section 302 of the Indian Penal Code for alleged murder. 3. The petitioner argued that the evidence was circumstantial. 4. The court found that the prosecution had established guilt beyond reasonable doubt. 5. The appeal is dismissed, and the conviction upheld."
"3","Appeal (civil) 4354 of 2022","Reliance Communications Ltd.","Telecom Regulatory Authority of India (TRAI)","2023-04-22","Justice R. Kaushik, Justice P. Venkat","J U D G M E N T CIVIL APPEAL NO. 4354 OF 2022 (Arising out of SLP (C) No. 9056 of 2020) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The dispute concerns spectrum allocation for 5G services. The petitioner claimed discriminatory practices by TRAI. 3. The court found no merit in the allegations and upheld TRAI's decision. 4. The appeal is dismissed with no order as to costs."
"4","Appeal (civil) 1021 of 2023","HDFC Bank Ltd.","Anil Kumar","2024-01-15","Justice M. Reddy, Justice A. Sharma","J U D G M E N T CIVIL APPEAL NO. 1021 OF 2023 (Arising out of SLP (C) No. 5688 of 2022) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner appealed against a consumer dispute verdict that favored the respondent. 3. The bank claimed that the respondent defaulted on EMI payments, while the respondent alleged fraudulent practices. 4. The court ordered both parties to settle through mediation. 5. The appeal is disposed of with mediation instructions."
"5","Appeal (criminal) 7542 of 2020","Maya Singh","State of Rajasthan","2021-05-18","Justice D. Chaturvedi, Justice R. Anand","J U D G M E N T CRIMINAL APPEAL NO. 7542 OF 2020 (Arising out of SLP (Crl) No. 1205 of 2019) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner challenged her conviction under Section 498A of the Indian Penal Code. 3. The court found inconsistencies in the prosecution's case and set aside the conviction. 4. The appeal is allowed, and the petitioner is acquitted."
"6","Appeal (civil) 8921 of 2023","Infosys Ltd.","Income Tax Department","2024-02-12","Justice R. Patel, Justice N. Mehta","J U D G M E N T CIVIL APPEAL NO. 8921 OF 2023 (Arising out of SLP (C) No. 7455 of 2022) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner contested a tax demand issued for the financial year 2019-20. 3. The court upheld the tax department’s assessment. 4. The appeal is dismissed with no costs."
"7","Appeal (civil) 1044 of 2019","Shyam Babu","Delhi Jal Board","2020-03-19","Justice A. Kapoor, Justice R. Malhotra","J U D G M E N T CIVIL APPEAL NO. 1044 OF 2019 (Arising out of SLP (C) No. 6044 of 2018) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner claimed compensation for water supply disruption. 3. The court held that the disruption was due to maintenance issues. 4. The appeal was dismissed with no compensation awarded."
"8","Appeal (civil) 2345 of 2021","Amazon India Pvt. Ltd.","Competition Commission of India","2022-07-28","Justice M. Shah, Justice K. Menon","J U D G M E N T CIVIL APPEAL NO. 2345 OF 2021 (Arising out of SLP (C) No. 3055 of 2020) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner challenged a fine imposed by the CCI for anti-competitive practices. 3. The court reduced the fine but upheld the CCI’s findings. 4. The appeal is partially allowed."
"9","Appeal (criminal) 6734 of 2018","Ajay Kumar","State of Uttar Pradesh","2019-11-04","Justice P. Sinha, Justice M. Bhardwaj","J U D G M E N T CRIMINAL APPEAL NO. 6734 OF 2018 (Arising out of SLP (Crl) No. 2210 of 2017) Dr. ARIJIT PASAYAT, J. 1. Leave granted. 2. The petitioner challenged his conviction under the NDPS Act. 3. The court found procedural lapses in the investigation and set aside the conviction. 4. The appeal is allowed, and the petitioner is acquitted."
"10","Appeal (civil) 5542 of 2019","Flipkart Internet Pvt. Ltd.","Director General of GST Intelligence","2020-02-14","Justice D. Mishra, Justice K. Verma","J U D G M E N T CIVIL APPEAL NO. 5542 OF 2019. The petitioner sought relief from a GST penalty imposed for non-compliance with filing deadlines. The court ruled that the petitioner had shown reasonable cause for the delay. The penalty was waived, and the appeal allowed."
"11","Appeal (criminal) 2201 of 2017","Manoj Tiwari","State of Bihar","2018-06-18","Justice S. Mukherjee, Justice R. Saxena","J U D G M E N T CRIMINAL APPEAL NO. 2201 OF 2017. The petitioner was convicted under Section 376 IPC for rape. The appeal contested the conviction, claiming lack of forensic evidence. However, the court upheld the conviction, finding the victim’s testimony credible. The appeal is dismissed."
"12","Appeal (civil) 6421 of 2020","Indian Oil Corporation","Maharashtra Pollution Control Board","2021-09-29","Justice A. Narang, Justice P. Iyer","J U D G M E N T CIVIL APPEAL NO. 6421 OF 2020. The appeal challenged an environmental compliance notice. The court ruled that the petitioner must comply with the pollution norms within six months. The appeal was disposed of with directions."
